,0
1,0
6,0.001124998
68,0.003042028
95,0.003442652
142,0.003337112
273,0.004490628
298,0.003270702
367,0.004110211
374,0.004884948
387,0.004884948
410,0.005003076
415,0.004781203
554,0.004867878
578,0.004413526
635,0.001977866
725,0.000702903
747,0.000100116
748,0.000766183
848,0.00442667
856,0.002340497
897,0.002382716
946,0.004714864
951,0.000100116
955,0.003352296
1021,0.004884948
1058,0.000639908
1084,0.004719876
7,0.000430476
62,0.030178299
78,0.030031743
180,0.023963147
225,0.012509622
370,0.01070767
394,0.029321376
397,0.000917592
501,0.025391314
528,0.017500146
609,0.002305759
761,0.030404363
763,0.000366319
1003,0.002569156
1089,0.01154229
1121,0.002857031
1123,0.028203287
1151,0.030404363
1227,0.013652738
8,0.001001465
79,0.002270557
134,0.013474973
139,0.004622731
202,0.001998063
386,0.01338491
506,0.019213656
521,0.009856012
797,0.001998063
819,0.020061113
863,0.028627191
905,0.001105656
931,0.013069324
1052,0.024598371
1147,0.014060736
1199,0.017299547
9,0.002173646
74,0.00120261
277,0.002978169
357,0.016984655
382,0.001497534
436,0.000833233
678,0.000454965
699,0.000454965
724,0.00120261
801,0.000454965
936,0.003533286
1093,0.001702777
1168,0.000454965
1194,0.002552818
1202,0.001385589
1216,0.000454965
13,6.35E-73
45,9.25E-73
84,3.51E-72
146,4.13E-73
163,2.14E-73
164,9.58E-73
189,3.53E-72
212,4.16E-73
279,2.14E-73
284,2.88E-72
299,7.86E-73
303,2.14E-73
444,1.32E-72
471,3.63E-72
490,1.89E-72
502,3.07E-72
533,6.12E-73
546,4.26E-73
549,1.32E-72
550,6.48E-73
591,4.40E-72
602,6.48E-73
631,2.14E-73
658,2.65E-72
707,9.16E-73
758,2.14E-73
785,1.99E-72
871,1.32E-72
1070,3.63E-72
1112,1.53E-72
1189,9.58E-73
1228,4.21E-73
25,0.002641817
69,0.001733904
151,0.001223646
221,0.000771189
297,0.000764189
473,0.001733904
641,0.002952845
1071,0.005910128
1116,0.000394811
36,0.000309327
43,0.004766978
220,0.004457015
361,0.000817014
468,0.004458193
494,0.004454864
774,0.000245606
872,0.001024882
1134,0.004236893
41,0.001557997
254,0.002268187
324,0.001006866
331,0.002435782
695,0.001866004
445,2.26E-230
564,2.26E-230
792,2.26E-230
859,2.26E-230
886,2.26E-230
933,2.26E-230
974,2.26E-230
1064,2.26E-230
1176,2.26E-230
1204,2.26E-230
50,0.000560489
448,0.001510677
557,0.000534965
598,0.003099411
1119,0.001067317
59,0.000560489
2,0.00090257
48,0.000347453
126,0.000347453
385,0.000347453
454,0.000729217
560,0.00090257
594,0.003549886
610,0.00090257
683,0.003542765
686,0.001280489
698,0.001280489
727,0.001138203
1034,0.000347453
1131,0.000898725
1165,0.001280489
80,0.000737627
441,0.000335467
538,0.007397049
969,0.004999343
63,0.000465083
85,0.000414801
88,0.000708739
99,0.00077464
106,0.000724941
143,0.000805649
166,0.000698509
193,0.000159556
223,0.000715979
228,0.000502666
259,0.000628332
289,0.000580075
372,0.000424122
437,0.000735958
438,0.000826743
447,0.000946197
467,0.000917886
477,0.00069175
492,0.000886194
523,0.000713167
531,0.000804803
556,0.000801911
569,0.000114992
585,0.000718911
611,0.000784882
629,0.000222491
642,0.000883058
680,0.000144875
682,8.86E-05
735,0.000350848
799,0.000261817
847,0.000919764
874,0.000715979
876,0.000396717
900,0.000307211
909,0.000653869
922,0.000333162
1009,0.00046114
1049,0.000946197
1099,0.00080042
1100,0.000118627
1174,0.000540749
227,0.000150479
479,0.002278684
497,0.000290643
861,0.000150479
1226,0.000150479
11,0.000375352
171,0.004526209
249,0.000482024
261,0.000374438
300,0.000372621
499,0.000372621
586,0.000372621
666,0.000375352
755,0.000372621
771,0.000374438
939,0.002431796
1060,0.000372621
1166,0.000372621
1221,0.004452142
167,0.001058468
250,0.002152974
486,0.001058468
659,0.001140641
662,0.003554027
835,0.001604345
81,0.002022674
52,0.000458048
301,0.000458048
601,0.000897376
930,0.001357008
943,0.000458048
1019,0.002140398
1057,0.000458048
1113,0.006209828
124,2.11E-73
150,2.11E-73
162,2.31E-72
216,3.96E-73
242,2.11E-73
252,2.11E-73
351,2.11E-73
380,4.46E-73
393,1.64E-72
411,7.80E-73
530,1.25E-72
535,2.11E-73
650,2.96E-72
718,1.57E-72
750,3.98E-73
775,1.05E-72
779,2.11E-73
842,2.11E-73
904,9.03E-73
963,2.11E-73
982,2.11E-73
994,1.01E-72
91,0.001152017
47,0.000568757
160,0.001827808
317,0.000568757
462,0.003129849
581,0.001720773
622,0.001720773
640,0.002728752
766,0.000568757
814,0.000568757
929,0.002070053
1145,0.005913736
1184,0.005802693
135,0.00067958
290,0.000425357
362,0.001560424
439,0.001818717
463,0.001678552
559,0.00028516
689,0.000142738
741,0.001560424
765,0.000228629
1163,0.000296358
98,8.47E-06
57,0.000521848
117,0.000247131
156,0.000650459
157,0.000447781
237,0.0003573
329,0.000555137
352,0.0005156
360,0.000103847
401,3.98E-05
402,3.98E-05
566,0.000495065
575,0.000485251
654,0.000284895
660,0.000518625
690,0.000447781
714,3.98E-05
722,0.000324208
820,0.000324208
912,0.000176819
948,0.000485251
999,0.000176819
1006,0.000647138
1074,0.000445295
102,0.000378593
53,5.79E-06
129,0.000384384
190,3.11E-06
